Date;Pair;Side;Price;Quantity;Amount;Fee;RealizedProfit
09/02/2021 22:24;ETCUSDT;SELL;9.7;0.21;2.0370000000 USDT;-0.0006110900 USDT;0
09/02/2021 22:24;ETCUSDT;SELL;9.699;4.38;42.4816200000 USDT;-0.0127444800 USDT;0
09/02/2021 22:24;LINKUSDT;SELL;27.231;1.64;44.6588400000 USDT;-0.0133976500 USDT;0
09/02/2021 22:24;LTCUSDT;SELL;175.43;0.253;44.3837900000 USDT;-0.0044383700 USDT;0
09/02/2021 22:24;XLMUSDT;SELL;0.39844;111;44.2268400000 USDT;-0.0132680500 USDT;0
09/02/2021 22:25;BATUSDT;SELL;0.4396;101.4;44.5754400000 USDT;-0.0133726300 USDT;0
09/02/2021 22:25;IOSTUSDT;SELL;0.021975;2034;44.6971500000 USDT;-0.0134091400 USDT;0
09/02/2021 22:25;EOSUSDT;SELL;4.207;10.5;44.1735000000 USDT;-0.0044173400 USDT;0
09/02/2021 22:25;ZILUSDT;SELL;0.09383;475;44.5692500000 USDT;-0.0133707700 USDT;0
09/02/2021 22:25;THETAUSDT;SELL;2.946;1.2;3.5352000000 USDT;-0.0003535200 USDT;0
09/02/2021 22:25;DOGEUSDT;SELL;0.072027;400;28.8108000000 USDT;-0.0086432400 USDT;0
09/02/2021 22:25;DOGEUSDT;SELL;0.072001;219;15.7682190000 USDT;-0.0047304600 USDT;0
09/02/2021 22:25;BCHUSDT;SELL;507.52;0.087;44.1542400000 USDT;-0.0132462700 USDT;0
09/02/2021 22:25;ADAUSDT;SELL;0.6946;64;44.4544000000 USDT;-0.0044454400 USDT;0
09/02/2021 22:25;KAVAUSDT;SELL;4.03;11;44.3300000000 USDT;-0.0132990000 USDT;0
09/02/2021 22:25;THETAUSDT;SELL;2.946;13.9;40.9494000000 USDT;-0.0040949400 USDT;0
09/02/2021 22:25;BANDUSDT;BUY;13.6896;3.2;43.8067200000 USDT;-0.0131420100 USDT;0
09/02/2021 22:25;RENUSDT;SELL;0.90028;49;44.1137200000 USDT;-0.0132341100 USDT;0
09/02/2021 22:25;NEOUSDT;BUY;31;1.43;44.3300000000 USDT;-0.0044330000 USDT;0
09/02/2021 22:25;WAVESUSDT;BUY;10.24;4.3;44.0320000000 USDT;-0.0044032000 USDT;0
09/02/2021 22:25;MATICUSDT;SELL;0.1062;419;44.4978000000 USDT;-0.0044497800 USDT;0
09/02/2021 22:25;FTMUSDT;BUY;0.1509;295;44.5155000000 USDT;-0.0044515500 USDT;0
09/02/2021 22:25;SXPUSDT;SELL;2.484;17.9;44.4636000000 USDT;-0.0044463600 USDT;0
